Period_Label,Period_Start,Period_End,LOOKAHEAD,TP,SL,THRESH,Score,Validation_Precision,Precision_Std,Base_Rate,Excess_Precision,Precision_Lift,Breakeven_Precision,Edge_vs_Breakeven,Trades,Valid_Folds,Avg_Return,Avg_Holding_Days,Expectancy_Per_Day,Timeout_Rate,Research_Status,Pass_Tradeable_Rule,Ticker,Profile,Feature_Set,Experiment_Mode,Rows,Reject_Note,Setup_Source,Evaluated_Setups,Score_Delta_vs_Baseline,Validation_Precision_Delta_vs_Baseline,Excess_Precision_Delta_vs_Baseline,Edge_vs_Breakeven_Delta_vs_Baseline,Avg_Return_Delta_vs_Baseline,Expectancy_Per_Day_Delta_vs_Baseline,Avg_Holding_Days_Delta_vs_Baseline,Timeout_Rate_Delta_vs_Baseline,Trades_Delta_vs_Baseline,Score_Delta_vs_Period_Baseline,Edge_vs_Breakeven_Delta_vs_Period_Baseline,Avg_Return_Delta_vs_Period_Baseline,Expectancy_Per_Day_Delta_vs_Period_Baseline,Timeout_Rate_Delta_vs_Period_Baseline,Trades_Delta_vs_Period_Baseline
P1_2014_2018,2014-01-01,2018-12-31,20,0.1,-0.07,0.5,-0.0274305741658515,0.2556962025316455,0.1580338262926451,0.2416666666666666,0.0140295358649788,1.0580532474769335,0.411764705882353,-0.1560685033507074,395,3,0.0151858564943708,14.90379746835443,0.0010189253125316,0.4481012658227848,RESEARCH_EDGE,False,CTD,SWING,baseline,fixed_setup,961,,setup_diagnostics_fallback,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
P1_2014_2018,2014-01-01,2018-12-31,30,0.1,-0.07,0.7,0.0361168098713939,0.4,0.2220579737521172,0.3263009845288326,0.0736990154711674,1.2258620652086727,0.411764705882353,-0.0117647058823529,335,3,0.0194278901910456,16.865671641791046,0.0011519191528521,0.217910447761194,RESEARCH_EDGE,False,CTD,SWING,baseline,reoptimized,951,,profile_grid_search,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
P1_2014_2018,2014-01-01,2018-12-31,20,0.1,-0.07,0.5,0.0026935180409133,0.2648514851485148,0.1237703365554118,0.2416666666666666,0.0231848184818481,1.0959371753899767,0.411764705882353,-0.1469132207338381,404,3,0.027968824148864,15.923267326732674,0.0017564751990411,0.5420792079207921,RESEARCH_EDGE,False,CTD,SWING,candidate_trend_recovery_v1,fixed_setup,961,,setup_diagnostics_fallback,,,,,,,,,,,0.030124092206764798,0.009155282616869292,0.0127829676544932,0.0007375498865095,0.0939779420980073,9
P1_2014_2018,2014-01-01,2018-12-31,30,0.08,-0.05,0.7,0.0475656997970257,0.444007858546169,0.1567805407838604,0.3966244725738396,0.0473833859723293,1.1194666192566858,0.3846153846153846,0.0593924739307843,509,3,0.0244772875293335,15.288801571709234,0.0016009945196113,0.2023575638506876,TRADEABLE_EDGE,True,CTD,SWING,candidate_trend_recovery_v1,reoptimized,951,,profile_grid_search,60.0,,,,,,,,,,0.011448889925631797,0.0711571798131372,0.005049397338287902,0.0004490753667592,-0.01555288391050641,174
P1_2014_2018,2014-01-01,2018-12-31,20,0.1,-0.07,0.5,0.0011471676756705,0.2655086848635236,0.1268806578278151,0.2416666666666666,0.0238420181968569,1.0986566224753116,0.411764705882353,-0.1462560210188294,403,3,0.0270745314510327,15.913151364764268,0.0017013934467613,0.5384615384615384,RESEARCH_EDGE,False,CTD,SWING,ablation_trend_recovery_minus_rsi_v1,fixed_setup,961,,setup_diagnostics_fallback,,,,,,,,,,,0.028577741841521998,0.009812482331878009,0.011888674956661899,0.0006824681342297001,0.09036027263875362,8
P1_2014_2018,2014-01-01,2018-12-31,40,0.08,-0.05,0.7,0.0375192333885718,0.4822429906542056,0.1781694326216154,0.4382978723404255,0.04394511831378,1.1002631315065676,0.3846153846153846,0.0976276060388209,535,3,0.0243835100901356,16.885981308411214,0.0014440090654693,0.1252336448598131,TRADEABLE_EDGE,True,CTD,SWING,ablation_trend_recovery_minus_rsi_v1,reoptimized,941,,profile_grid_search,60.0,,,,,,,,,,0.0014024235171778976,0.1093923119211738,0.004955619899090002,0.00029208991261719984,-0.09267680290138092,200
P1_2014_2018,2014-01-01,2018-12-31,20,0.1,-0.07,0.5,-0.0229634007330372,0.2493946731234866,0.1445155597853577,0.2416666666666666,0.00772800645682,1.031977953482105,0.411764705882353,-0.1623700327588663,413,3,0.0268152446620283,15.98547215496368,0.0016774759231634,0.5569007263922519,RESEARCH_EDGE,False,CTD,SWING,ablation_trend_recovery_minus_market_regime_v1,fixed_setup,961,,setup_diagnostics_fallback,,,,,,,,,,,0.0044671734328143,-0.006301529408158896,0.011629388167657498,0.0006585506106318,0.10879946056946704,18
P1_2014_2018,2014-01-01,2018-12-31,40,0.08,-0.05,0.65,0.0831838980764759,0.5178197064989518,0.1572661839863822,0.4382978723404255,0.0795218341585262,1.1814333082487072,0.3846153846153846,0.1332043218835671,477,3,0.0326694444001676,18.465408805031448,0.0017692239984146,0.1530398322851153,TRADEABLE_EDGE,True,CTD,SWING,ablation_trend_recovery_minus_market_regime_v1,reoptimized,941,,profile_grid_search,60.0,,,,,,,,,,0.047067088205082,0.14496902776592,0.013241554209122,0.0006173048455625,-0.0648706154760787,142
P1_2014_2018,2014-01-01,2018-12-31,20,0.1,-0.07,0.5,-0.0225989636254724,0.2513966480446927,0.138178183042248,0.2416666666666666,0.009729981378026,1.0402619876045411,0.411764705882353,-0.1603680578376602,358,3,0.0247166128443722,16.039106145251395,0.0015410218386857,0.5502793296089385,RESEARCH_EDGE,False,CTD,SWING,candidate_recovery_valuation_v1,fixed_setup,961,,setup_diagnostics_fallback,,,,,,,,,,,0.004831610540379099,-0.004299554486952795,0.009530756350001399,0.0005220965261541,0.10217806378615374,-37
P1_2014_2018,2014-01-01,2018-12-31,40,0.1,-0.05,0.7,0.0537460738834307,0.4511278195488721,0.1789740699936752,0.3801418439716312,0.0709859755772409,1.1867354923332325,0.3333333333333333,0.1177944862155388,399,3,0.0406465706856492,22.31578947368421,0.0018214265164922,0.2355889724310776,TRADEABLE_EDGE,True,CTD,SWING,candidate_recovery_valuation_v1,reoptimized,941,,profile_grid_search,60.0,,,,,,,,,,0.0176292640120368,0.12955919209789168,0.021218680494603598,0.0006695073636401,0.017678524669883594,64
P2_2019_2021,2019-01-01,2021-12-31,20,0.1,-0.07,0.5,-0.0187638942382689,0.3160621761658031,0.144318764976584,0.3,0.0160621761658031,1.0535405837075418,0.411764705882353,-0.0957025297165498,193,3,0.0039430232166213,11.974093264248705,0.0003292961837924,0.2746113989637305,RESEARCH_EDGE,False,CTD,SWING,baseline,fixed_setup,481,,setup_diagnostics_fallback,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
P2_2019_2021,2019-01-01,2021-12-31,20,0.08,-0.07,0.7,0.0783388853668788,0.4682539682539682,0.2532254130141497,0.3722222222222222,0.096031746031746,1.2579957322279858,0.4666666666666666,0.0015873015873016,126,3,0.0179472957139113,10.468253968253968,0.0017144497799369,0.2222222222222222,RESEARCH_EDGE,False,CTD,SWING,baseline,reoptimized,481,,profile_grid_search,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
P2_2019_2021,2019-01-01,2021-12-31,20,0.1,-0.07,0.5,0.3133258624136686,0.5277777777777778,0.1460135163065028,0.3,0.2277777777777778,1.7592592533950615,0.411764705882353,0.1160130718954248,108,3,0.0463750268876884,11.148148148148149,0.0041598861324095,0.2314814814814814,TRADEABLE_EDGE,True,CTD,SWING,candidate_trend_recovery_v1,fixed_setup,481,,setup_diagnostics_fallback,,,,,,,,,,,0.3320897566519375,0.2117156016119746,0.0424320036710671,0.0038305899486171,-0.04312991748224909,-85
P2_2019_2021,2019-01-01,2021-12-31,20,0.1,-0.07,0.7,0.3897149292992526,0.5869565217391305,0.2085106382978723,0.3,0.2869565217391305,1.956521732608696,0.411764705882353,0.1751918158567775,92,2,0.0583842067830894,11.01086956521739,0.00530241562049,0.217391304347826,TRADEABLE_EDGE,True,CTD,SWING,candidate_trend_recovery_v1,reoptimized,481,,profile_grid_search,60.0,,,,,,,,,,0.31137604393237384,0.1736045142694759,0.0404369110691781,0.0035879658405531,-0.004830917874396212,-34
P2_2019_2021,2019-01-01,2021-12-31,20,0.1,-0.07,0.5,0.324417330123448,0.5309734513274337,0.1375585692106059,0.3,0.2309734513274337,1.769911498525074,0.411764705882353,0.1192087454450807,113,3,0.0464404218729546,10.84070796460177,0.0042838919764569,0.2212389380530973,TRADEABLE_EDGE,True,CTD,SWING,ablation_trend_recovery_minus_rsi_v1,fixed_setup,481,,setup_diagnostics_fallback,,,,,,,,,,,0.3431812243617169,0.2149112751616305,0.0424973986563333,0.0039545957926645,-0.05337246091063319,-80
P2_2019_2021,2019-01-01,2021-12-31,20,0.1,-0.07,0.7,0.3906762388350966,0.5957446808510638,0.2570391238930558,0.3,0.2957446808510638,1.985815596217494,0.411764705882353,0.1839799749687108,94,3,0.0598212738800211,10.872340425531917,0.0055021523915898,0.2127659574468085,TRADEABLE_EDGE,True,CTD,SWING,ablation_trend_recovery_minus_rsi_v1,reoptimized,481,,profile_grid_search,60.0,,,,,,,,,,0.3123373534682178,0.1823926733814092,0.0418739781661098,0.0037877026116529,-0.009456264775413697,-32
P2_2019_2021,2019-01-01,2021-12-31,20,0.1,-0.07,0.5,0.3646363281294783,0.5603448275862069,0.1444650325836652,0.3,0.2603448275862068,1.867816085727969,0.411764705882353,0.1485801217038538,116,3,0.0522921055655992,11.155172413793103,0.0046877003439457,0.2068965517241379,TRADEABLE_EDGE,True,CTD,SWING,ablation_trend_recovery_minus_market_regime_v1,fixed_setup,481,,setup_diagnostics_fallback,,,,,,,,,,,0.38340022236774723,0.2442826514204036,0.0483490823489779,0.0043584041601533,-0.06771484723959259,-77
P2_2019_2021,2019-01-01,2021-12-31,20,0.1,-0.07,0.7,0.4555776698087884,0.6309523809523809,0.2023809523809524,0.3,0.3309523809523809,2.103174596164021,0.411764705882353,0.2191876750700279,84,2,0.0678330993916437,11.273809523809524,0.0060168747079119,0.2261904761904762,TRADEABLE_EDGE,True,CTD,SWING,ablation_trend_recovery_minus_market_regime_v1,reoptimized,481,,profile_grid_search,60.0,,,,,,,,,,0.3772387844419096,0.2176003734827263,0.0498858036777324,0.004302424927975,0.003968253968253982,-42
P2_2019_2021,2019-01-01,2021-12-31,20,0.1,-0.07,0.5,0.3359307384823758,0.5490196078431373,0.1748170966499807,0.3,0.2490196078431373,1.8300653533769065,0.411764705882353,0.1372549019607843,102,2,0.04863135163196,11.049019607843135,0.0044014178048012,0.2058823529411764,TRADEABLE_EDGE,True,CTD,SWING,candidate_recovery_valuation_v1,fixed_setup,481,,setup_diagnostics_fallback,,,,,,,,,,,0.3546946327206447,0.2329574316773341,0.0446883284153387,0.0040721216210088,-0.06872904602255409,-91
P2_2019_2021,2019-01-01,2021-12-31,30,0.1,-0.05,0.5,0.3774106157971492,0.6164383561643836,0.2425268415719542,0.3247863247863248,0.2916520313780588,1.897981248662344,0.3333333333333333,0.2831050228310502,73,3,0.0527829943955172,11.26027397260274,0.0046875408643924,0.0958904109589041,TRADEABLE_EDGE,True,CTD,SWING,candidate_recovery_valuation_v1,reoptimized,471,,profile_grid_search,60.0,,,,,,,,,,0.29907173043027035,0.28151772124374863,0.0348356986816059,0.0029730910844555,-0.1263318112633181,-53
P3_2022_2023,2022-01-01,2023-12-31,20,0.1,-0.07,0.5,0.0020089599401403,0.4758064516129032,0.1812099224066901,0.5297619047619048,-0.0539554531490015,0.8981515024727899,0.411764705882353,0.0640417457305502,124,3,0.034017857132323,10.266129032258064,0.0033136011657479,0.1854838709677419,NO_EDGE,False,CTD,SWING,baseline,fixed_setup,227,,setup_diagnostics_fallback,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
P3_2022_2023,2022-01-01,2023-12-31,20,0.08,-0.05,0.7,0.1117996621350942,0.5775862068965517,0.1261740412198136,0.5952380952380952,-0.0176518883415435,0.9703448259560276,0.3846153846153846,0.192970822281167,116,3,0.0392202100095344,8.21551724137931,0.0047739185315343,0.0948275862068965,NO_EDGE,False,CTD,SWING,baseline,reoptimized,227,,profile_grid_search,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
P3_2022_2023,2022-01-01,2023-12-31,20,0.1,-0.07,0.5,0.1395721771374658,0.5793650793650794,0.2324598464269694,0.5297619047619048,0.0496031746031746,1.0936329567371124,0.411764705882353,0.1676003734827264,126,3,0.0497139589925741,10.412698412698411,0.0047743588662063,0.1269841269841269,TRADEABLE_EDGE,True,CTD,SWING,candidate_trend_recovery_v1,fixed_setup,227,,setup_diagnostics_fallback,,,,,,,,,,,0.1375632171973255,0.10355862775217621,0.015696101860251103,0.0014607577004583996,-0.058499743983615016,2
P3_2022_2023,2022-01-01,2023-12-31,30,0.1,-0.05,0.55,0.2653404469114705,0.6949152542372882,0.1364630653238791,0.6172839506172839,0.0776313036200042,1.1257627100406713,0.3333333333333333,0.3615819209039548,118,3,0.0706374474541718,10.364406779661016,0.0068153874070221,0.0508474576271186,TRADEABLE_EDGE,True,CTD,SWING,candidate_trend_recovery_v1,reoptimized,217,,profile_grid_search,60.0,,,,,,,,,,0.15354078477637634,0.1686110986227878,0.031417237444637404,0.0020414688754877997,-0.043980128579777907,2
P3_2022_2023,2022-01-01,2023-12-31,20,0.1,-0.07,0.5,0.1287145844663466,0.5785123966942148,0.2725269015501609,0.5297619047619048,0.04875049193231,1.0920233984400918,0.411764705882353,0.1667476908118618,121,3,0.050782110738946,10.446280991735538,0.0048612621826141,0.1322314049586777,TRADEABLE_EDGE,True,CTD,SWING,ablation_trend_recovery_minus_rsi_v1,fixed_setup,227,,setup_diagnostics_fallback,,,,,,,,,,,0.1267056245262063,0.1027059450813116,0.016764253606623,0.0015476610168662,-0.05325246600906422,-3
P3_2022_2023,2022-01-01,2023-12-31,30,0.1,-0.05,0.5,0.2706550237799023,0.6974789915966386,0.1374857992343172,0.6172839506172839,0.0801950409793547,1.1299159645560908,0.3333333333333333,0.3641456582633053,119,3,0.071272404662272,10.3109243697479,0.006912319603902,0.0504201680672268,TRADEABLE_EDGE,True,CTD,SWING,ablation_trend_recovery_minus_rsi_v1,reoptimized,217,,profile_grid_search,60.0,,,,,,,,,,0.15885536164480812,0.1711748359821383,0.0320521946527376,0.0021384010723676994,-0.044407418139669703,3
P3_2022_2023,2022-01-01,2023-12-31,20,0.1,-0.07,0.5,0.090748910594199,0.5555555555555556,0.2698897592798742,0.5297619047619048,0.0257936507936508,1.048689136597231,0.411764705882353,0.1437908496732026,117,3,0.04633637145249,10.623931623931623,0.0043615088169195,0.1367521367521367,TRADEABLE_EDGE,True,CTD,SWING,ablation_trend_recovery_minus_market_regime_v1,fixed_setup,227,,setup_diagnostics_fallback,,,,,,,,,,,0.0887399506540587,0.0797491039426524,0.012318514320167,0.0010479076511716,-0.0487317342156052,-7
P3_2022_2023,2022-01-01,2023-12-31,30,0.1,-0.05,0.55,0.2018511620029596,0.6736842105263158,0.2052457149112737,0.6172839506172839,0.0564002599090318,1.091368419284615,0.3333333333333333,0.3403508771929824,95,3,0.0692700605936321,11.189473684210526,0.0061906451136471,0.0631578947368421,TRADEABLE_EDGE,True,CTD,SWING,ablation_trend_recovery_minus_market_regime_v1,reoptimized,217,,profile_grid_search,60.0,,,,,,,,,,0.09005149986786541,0.1473800549118154,0.030049850584097697,0.0014167265821128,-0.03166969147005441,-21
P3_2022_2023,2022-01-01,2023-12-31,20,0.1,-0.07,0.5,0.1715794783889921,0.5950413223140496,0.2248429631444549,0.5297619047619048,0.0652794175521448,1.1232240669669515,0.411764705882353,0.1832766164316966,121,3,0.0532044061294551,10.148760330578511,0.0052424536979069,0.1322314049586777,TRADEABLE_EDGE,True,CTD,SWING,candidate_recovery_valuation_v1,fixed_setup,227,,setup_diagnostics_fallback,,,,,,,,,,,0.1695705184488518,0.1192348707011464,0.019186548997132104,0.001928852532159,-0.05325246600906422,-3
P3_2022_2023,2022-01-01,2023-12-31,30,0.1,-0.05,0.65,0.2210884228624909,0.647887323943662,0.1314759305625506,0.6172839506172839,0.030603373326378,1.0495774630884172,0.3333333333333333,0.3145539906103287,71,3,0.0544427477711971,8.309859154929578,0.0065515849004912,0.0,TRADEABLE_EDGE,True,CTD,SWING,candidate_recovery_valuation_v1,reoptimized,217,,profile_grid_search,60.0,,,,,,,,,,0.1092887607273967,0.12158316832916169,0.0152225377616627,0.0017776663689568995,-0.0948275862068965,-45
P4_2024_2026,2024-01-01,2026-12-31,20,0.1,-0.07,0.5,-0.2396032404984847,0.1011235955056179,0.227285646635707,0.2264957264957265,-0.1253721309901085,0.4464702121479354,0.411764705882353,-0.310641110376735,89,3,-0.0027442277095212,16.280898876404493,-0.0001685550490906,0.5842696629213483,NO_EDGE,False,CTD,SWING,baseline,fixed_setup,314,,setup_diagnostics_fallback,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
P4_2024_2026,2024-01-01,2026-12-31,40,0.08,-0.07,0.7,-0.0009441414193956,0.5405405405405406,0.3064533617015165,0.4840182648401826,0.0565222757003579,1.1167771522057,0.4666666666666666,0.0738738738738739,111,3,0.0315997126359637,21.37837837837838,0.0014781155088191,0.1711711711711711,TRADEABLE_EDGE,True,CTD,SWING,baseline,reoptimized,294,,profile_grid_search,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
P4_2024_2026,2024-01-01,2026-12-31,20,0.1,-0.07,0.5,-0.050865741371751,0.2482758620689655,0.2364706231586575,0.2264957264957265,0.021780135573239,1.0961613484459656,0.411764705882353,-0.1634888438133874,145,3,0.0092191979360889,14.20689655172414,0.0006489241265236,0.4275862068965517,RESEARCH_EDGE,False,CTD,SWING,candidate_trend_recovery_v1,fixed_setup,314,,setup_diagnostics_fallback,,,,,,,,,,,0.1887374991267337,0.14715226656334757,0.0119634256456101,0.0008174791756142,-0.1566834560247966,56
P4_2024_2026,2024-01-01,2026-12-31,40,0.08,-0.05,0.7,0.1335499096433553,0.5306122448979592,0.1569015943424177,0.4200913242009132,0.110520920697046,1.2630878408264874,0.3846153846153846,0.1459968602825745,147,3,0.0290898239056237,15.10204081632653,0.0019262180692988,0.0748299319727891,TRADEABLE_EDGE,True,CTD,SWING,candidate_trend_recovery_v1,reoptimized,294,,profile_grid_search,60.0,,,,,,,,,,0.13449405106275092,0.0721229864087006,-0.002509888730340002,0.0004481025604796999,-0.09634123919838199,36
P4_2024_2026,2024-01-01,2026-12-31,20,0.1,-0.07,0.5,-0.050865741371751,0.2482758620689655,0.2364706231586575,0.2264957264957265,0.021780135573239,1.0961613484459656,0.411764705882353,-0.1634888438133874,145,3,0.0092191979360889,14.20689655172414,0.0006489241265236,0.4275862068965517,RESEARCH_EDGE,False,CTD,SWING,ablation_trend_recovery_minus_rsi_v1,fixed_setup,314,,setup_diagnostics_fallback,,,,,,,,,,,0.1887374991267337,0.14715226656334757,0.0119634256456101,0.0008174791756142,-0.1566834560247966,56
P4_2024_2026,2024-01-01,2026-12-31,40,0.08,-0.05,0.7,0.1374745334269773,0.5342465753424658,0.1586264420481768,0.4200913242009132,0.1141552511415525,1.2717391274074905,0.3846153846153846,0.1496311907270811,146,3,0.029646144389538,15.143835616438356,0.0019576377569365,0.0753424657534246,TRADEABLE_EDGE,True,CTD,SWING,ablation_trend_recovery_minus_rsi_v1,reoptimized,294,,profile_grid_search,60.0,,,,,,,,,,0.1384186748463729,0.07575731685320719,-0.001953568246425702,0.0004795222481173999,-0.09582870541774649,35
P4_2024_2026,2024-01-01,2026-12-31,20,0.1,-0.07,0.5,-0.0398529740260536,0.2550335570469799,0.2369224128698845,0.2264957264957265,0.0285378305512533,1.125997209160565,0.411764705882353,-0.1567311488353731,149,3,0.0125760471251691,14.51006711409396,0.0008667118508423,0.4429530201342282,RESEARCH_EDGE,False,CTD,SWING,ablation_trend_recovery_minus_market_regime_v1,fixed_setup,314,,setup_diagnostics_fallback,,,,,,,,,,,0.1997502664724311,0.15390996154136188,0.015320274834690301,0.0010352668999328999,-0.14131664278712008,60
P4_2024_2026,2024-01-01,2026-12-31,40,0.08,-0.07,0.7,0.259935204006541,0.6825396825396826,0.1188450988117449,0.4840182648401826,0.1985214176994999,1.4101527374279907,0.4666666666666666,0.2158730158730159,126,3,0.0481565561744328,16.547619047619047,0.0029101803729553,0.0714285714285714,TRADEABLE_EDGE,True,CTD,SWING,ablation_trend_recovery_minus_market_regime_v1,reoptimized,294,,profile_grid_search,60.0,,,,,,,,,,0.2608793454259366,0.14199914199914201,0.016556843538469097,0.0014320648641362,-0.09974259974259969,15
P4_2024_2026,2024-01-01,2026-12-31,20,0.1,-0.07,0.5,-0.0647330886282945,0.2394366197183098,0.2486013955657649,0.2264957264957265,0.0129408932225833,1.0571352597493369,0.411764705882353,-0.1723280861640431,142,3,0.0099610166320022,14.598591549295774,0.0006823272366847,0.4436619718309859,RESEARCH_EDGE,False,CTD,SWING,candidate_recovery_valuation_v1,fixed_setup,314,,setup_diagnostics_fallback,,,,,,,,,,,0.1748701518701902,0.13831302421269187,0.0127052443415234,0.0008508822857753,-0.14060769109036242,53
P4_2024_2026,2024-01-01,2026-12-31,20,0.08,-0.05,0.7,0.1763590339642802,0.4180327868852459,0.1640998157160567,0.2649572649572649,0.1530755219279809,1.5777366413218896,0.3846153846153846,0.0334174022698612,122,3,0.0271278839840181,11.581967213114757,0.002342251837059,0.2459016393442623,TRADEABLE_EDGE,True,CTD,SWING,candidate_recovery_valuation_v1,reoptimized,314,,profile_grid_search,60.0,,,,,,,,,,0.17730317538367582,-0.040456471604012695,-0.004471828651945599,0.0008641363282398998,0.0747304681730912,11
